SUMMARY,CALENDAR,TASK,TASK_EN
cafe da manha,Alimentação,Tomar café da manhã,Have breakfast
lanche da manha,Alimentação,Lanchar de manhã,Have a morning snack
almoco,Alimentação,Almoçar,Have lunch
lanche da tarde,Alimentação,Lanchar à tarde,Have an afternoon snack
pre-treino,Alimentação,Tomar o pré-treino,Take pre-workout
jantar,Alimentação,Jantar,Have dinner
inf1410 - gerencia de projetos de informatica,PUC,Aula da disciplina INF1410 - Gerência de Projetos de Informática,Attend INF1410 - IT Project Management class
inf1608 - analise numerica,PUC,Aula da disciplina INF1608 - Análise Numérica,Attend INF1608 - Numerical Analysis class
adm1019 - introducao a finanças,PUC,Aula da disciplina ADM1019 - Introdução a Finanças,Attend ADM1019 - Introduction to Finance class
inf1629 - principios de engenharia de software,PUC,Aula da disciplina INF1629 - Princípios de Engenharia de Software,Attend INF1629 - Software Engineering Principles class
psiquiatra,Saúde,Ir para consulta com o psiquiatra,Go to psychiatrist appointment
p3,Compromisso,Fazer a prova 3,Take exam 3
psicologo,Saúde,Ir para consulta com o psicólogo,Go to psychologist appointment
autoescola,Compromisso,Ir para aula da autoescola,Go to driving lesson
aula de violao,Compromisso,Ir para aula de violão,Go to guitar class
cortar cabelo,Compromisso, Cortar o cabelo,Get a haircut
aula de musica,Compromisso,Ir para aula de música,Go to music class
centro,Compromisso,Ir ao centro,Go downtown
conversa puc,Compromisso,Comparecer a conversa na PUC,Attend talk at PUC
auto escola: prova pratica,Compromisso,Fazer a prova prática da auto escola,Take the practical driving test
detran,Compromisso,Ir ao Detran,Go to the DMV
aula de canto,Compromisso,Fazer aula de canto,Take a singing class
aula de guitarra,Compromisso,Fazer aula de guitarra,Take a guitar class
graduacao muay thai,Compromisso,Ir pra graduação de Muay Thai,Go to Muay Thai graduation
conversa pedro,Compromisso,Conversar com Pedro,Talk with Pedro
t2 algebra,Exames,Fazer o teste 2 de álgebra,Take Algebra test 2
prova auto escola,Exames,Fazer a prova da auto escola,Take the driving test
inf1301 - relatorio plano de acao,Exames,Preparar o relatório do plano de ação de inf1301,Prepare the action plan report for INF1301
p1 inf1018,Exames,Fazer a prova 1 de INF1018,Take INF1018 exam 1
